Offset=C+m(pH_impure),,,
,,,
Expocode,GLODAPv2CruiseNumber,C,m
'06MT20030723',56,-0.041070501,0.005729737
'318M20091121',273,-0.247451255,0.03214596
'31DS19960105',280,-0.194053493,0.024973119
'320620110219',295,-0.154561726,0.020071533
'325020060213',306,-0.411337373,0.053297087
'33AT20120324',329,-0.572182528,0.072105118
'33AT20120419',330,-0.498433879,0.063545195
'33RO19980123',341,-0.356067964,0.044693868
'33RO20071215',345,-0.230437944,0.030070253
'33RO20100308',346,-0.389450137,0.049838175
'33RO20110926',347,-0.115858923,0.01536811
'33RR20070322',353,-0.125262618,0.016315028
'33RR20080204',354,-0.049735074,0.006750561
'33RR20090320',355,-0.315579294,0.040853236
'35A319950113',361,0.278840686,-0.03442836
'35MF20080207',385,0.285965041,-0.036011103
'49HO19980622',449,-0.004440166,0.001275904
'49HO19990601',451,-0.095217174,0.01360025
'49HO19990622',452,-0.022173716,0.003605884
'49NZ20000105',472,-0.181275678,0.023927861
'49NZ20010604',476,0.119291305,-0.014759312
'49NZ20010723',477,0.09970424,-0.012266168
'49NZ20030220',484,-0.026449288,0.003624853
'49NZ20030803',486,0.289242673,-0.036244325
'49NZ20031209',488,0.030865914,-0.00394326
'49NZ20040807',490,-0.100213821,0.013868319
'49NZ20041013',492,-0.049767752,0.007116561
'49NZ20050228',494,0.035297163,-0.003839101
'49NZ20050525',495,0.209856483,-0.026331804
'49NZ20050913',496,-0.015914536,0.002343995
'49NZ20051031',497,0.285456979,-0.036022125
'49NZ20060526',498,-0.127858965,0.016784431
'49NZ20070216',501,-0.19442392,0.025312616
'49NZ20070724',502,0.197809026,-0.025062338
'49NZ20070904',503,-0.181652949,0.023334082
'49NZ20071008',504,0.204692947,-0.026072183
'49NZ20071122',505,0.178415452,-0.022279159
'49NZ20081011',506,0.324161061,-0.041492493
'49NZ20090410',507,0.122329508,-0.015201692
'33RO20130803',1041,-0.338143749,0.043026665
'33RO20131223',1042,-0.446898013,0.056580066
'49NZ20121128',1050,0.194894224,-0.023290538
'49NZ20130106',1051,0.171855261,-0.021511579
'49NZ20140717',1053,0.077652933,-0.009633436
'49NZ20151223',1054,0.16706404,-0.020410034
'49UF20100615',1063,0.070739917,-0.007698958
'49UF20100811',1064,0.171444444,-0.02223054
'49UF20110108',1065,0.247403309,-0.030956248
'49UF20110205',1066,0.038927697,-0.004810212
'49UF20120204',1069,-0.032142507,0.003677112
'49UF20120621',1071,-0.022411462,0.003739584
'49UF20121024',1073,-0.144227696,0.01754682
'49UF20121210',1074,0.008928375,-0.000475107
'49UF20130203',1076,0.07005461,-0.007469848
'49UF20130531',1078,0.062933831,-0.007832029
'49UF20130627',1079,0.114490777,-0.014394494
'49UP20100514',1085,-0.38597956,0.048128905
'49UP20120111',1090,-0.034020979,0.004081166
'49UP20120602',1092,0.092182123,-0.010713903
'49UP20130109',1093,0.057363359,-0.005863322
'49UP20130731',1096,-0.000336471,0.00157538
'49UP20140703',1098,0.084437882,-0.009378329
'49UP20140728',1099,0.072726314,-0.007211547
'49UP20150724',1100,0.14497652,-0.016798052
'49UP20160703',1101,-0.012970206,0.003070035
'49UF20101002',2028,0.291091478,-0.036663473
'49UF20101109',2029,0.151374037,-0.021271297
'49UF20111004',2031,-0.046056055,0.004305061
'49UF20120410',2033,0.01264642,-0.004219044
'49UF20131006',2035,0.251197052,-0.030822343
'49UF20131029',2036,0.24300011,-0.028672224
'49UF20140206',2038,0.048367282,-0.00471914
'49UF20140410',2039,0.219585992,-0.025571696
'49UF20140512',2040,0.121108463,-0.013073954
'49UF20140623',2041,0.1724878,-0.020313657
'49UF20140904',2042,0.024963783,-0.002663934
'49UF20150107',2043,-0.005426388,0.002520976
'49UF20150202',2044,0.082993912,-0.008670266
'49UF20150511',2046,0.113204919,-0.012225345
'49UF20150620',2047,0.153188701,-0.017566126
'49UF20151021',2048,0.035784589,-0.003331028
'49UF20160107',2049,0.156657457,-0.01632834
'49UF20160201',2050,0.269086004,-0.030557134
'49UF20160407',2051,0.10008734,-0.010446099
'49UF20160512',2052,0.075706969,-0.006971158
'49UF20160618',2053,0.128494547,-0.014298536
'49UF20160730',2054,0.022410394,-0.001048895
'49UF20160917',2055,-0.065879893,0.010158671
'49UF20161116',2056,-0.02598304,0.005149099
'49UF20170110',2057,0.051502789,-0.004663115
'49UF20170228',2058,0.055858692,-0.004329277
'49UF20170408',2059,0.067691399,-0.005787727
'49UF20170502',2060,-0.003833142,0.003059154
'49UF20170719',2062,0.028069767,-0.001766443
'49UF20171107',2063,0.023825459,-0.000836326
'49UF20180406',2065,-0.133483152,0.01865898
'49UF20180709',2067,0.021933734,-0.000802963
'49UF20180927',2068,0.088334324,-0.010115889
'49UP20121116',2071,0.064565301,-0.006670923
'49UP20130307',2072,-0.058480924,0.008499438
'49UP20130426',2073,0.102566205,-0.012580469
'49UP20131128',2074,0.156801604,-0.018498851
'49UP20140108',2075,0.061084433,-0.005509443
'49UP20140307',2076,0.102205634,-0.011597546
'49UP20140429',2077,0.049674896,-0.004433984
'49UP20140609',2078,0.105169082,-0.012080378
'49UP20150110',2080,0.097716825,-0.009633882
'49UP20150228',2081,0.045949372,-0.003835164
'49UP20150426',2083,0.108546851,-0.011436092
'49UP20150604',2084,0.068116046,-0.006617028
'49UP20151115',2086,0.095369023,-0.009964124
'49UP20160109',2087,-0.154916264,0.020354766
'49UP20160227',2088,0.011412923,-0.000249603
'49UP20160427',2090,-0.081131515,0.010782455
'49UP20160608',2091,-0.151502922,0.018824668
'49UP20161021',2092,0.001699794,0.001613139
'49UP20170107',2093,0.005294302,0.000147437
'49UP20170201',2094,0.036716927,-0.003191771
'49UP20170623',2096,-0.123426959,0.016503743
'49UP20170815',2097,-0.205653997,0.026844317
'49UP20171125',2098,-0.092678118,0.013378271
'49UP20180110',2099,-0.148743923,0.020313683
'49UP20180228',2100,-0.057132636,0.008995114
'49UP20180501',2101,-0.06584335,0.009683138
'49UP20180614',2102,-0.050745331,0.007723
'CARIMedCruises',3999,-0.409562978,0.051522017
